NP_ID,Neighborhood,2015MedianHomeSalesPrice,MonthlyHomeownershipCost
1,122nd-Division,210000,951
2,Belmont-Hawthorne-Division,465500,2109
3,Centennial-Glenfair-Wilkes,209950,951
4,Central City,389000,1762
5,Forest Park-Northwest Hills,629500,2852
6,Gateway,244000,1105
7,Hayden Island,269450,1221
8,Hillsdale-Multnomah-Barbur,400000,1812
9,Hollywood,596750,2703
10,Interstate Corridor,390000,1767
11,Lents-Foster,250900,1137
12,MLK-Alberta,431900,1956
13,Montavilla,325000,1472
14,Northwest,460000,2084
15,Parkrose-Argay,250000,1132
16,Pleasant Valley,274000,1241
17,Raleigh Hills,467000,2116
18,Roseway-Cully,316500,1434
19,Sellwood-Moreland-Brooklyn,433400,1963
20,South Portland-Maraquam Hill,423500,1918
21,St. Johns,285000,1291
22,Tryon Crreek-South Terwilliger,468000,2120
23,West Portland,375000,1699
24,Woodstock,420000,1903
25,Portland,339000,1536
