Neighborhood,NP_ID,ReportYear,SingleFamilyUnits,%GrowthSFY_Stacked,MultiFamilyUnits,%GrowthMFY_Stacked,MedianHomePriceValues(2015$),%GrowthMedianHomePrice,EffectiveRentPerUnit,%GrowthEffectiveRent,%GrowthEffectiveRent(PHB/CoStarSupplied),TotalUnits(WeightingFactor),%GrowthTotalUnits,Weighted_%GrowthSFYUnitsStacked,Weighted_%GrowthMFYUnitsStacked,Weighted_%GrowthTotalUnits,Weighted_%GrowthMedianHomePrice,Weighted_%GrowthRent,Weighted_%GrowthRent(PHB_CoStar),MSA_Population,MSA_%Growth
122nd-Division,1,2008,,,,,,,707,,3.2,,,,,,,,,,
122nd-Division,1,2009,,,,,,,693,-1.98019802,-2.4,,,,,,,,,,
122nd-Division,1,2010,4405,,3719,,168551,,703,1.443001443,1.4,8124,,,,,,,,2230577.593,
122nd-Division,1,2011,4441,0.4431314623,3719,0,140341,-16.73677403,710,0.9957325747,0.9,8160,0.4431314623,3615.952733,0,3615.952733,-136572.0761,8125.177809,7344,2246082.829,0.6951220195
122nd-Division,1,2012,4468,0.3308823529,3719,0,146434,4.341568038,725,2.112676056,2.2,8187,0.3308823529,2708.933824,0,2708.933824,35544.41753,17296.47887,18011.4,2266572.729,0.9122504241
122nd-Division,1,2013,4494,0.3175766459,3736,0.2076462685,160330,9.48959941,754,4,4.1,8230,0.5252229144,2613.655796,1708.92879,4322.584585,78099.40314,32920,33743,2292725.175,1.153832211
122nd-Division,1,2014,4515,0.255164034,3768,0.3888213852,184719,15.21175076,784,3.978779841,4,8283,0.6439854192,2113.523694,3220.607533,5334.131227,125998.9316,32956.23342,33132,2326396.606,1.468620461
122nd-Division,1,2015,4543,0.3380417723,3768,0,210000,13.68619362,871,11.09693878,11.7,8311,0.3380417723,2809.46517,0,2809.46517,113745.9552,92226.65816,97238.7,2364953.612,1.657370283
122nd-Division,1,2016,,,,,,,915,5.051664753,5.3,,,,,,,,,,
Belmont-Hawthorne-Division,2,2008,,,,,,,971,,10.1,,,,,,,,,,
Belmont-Hawthorne-Division,2,2009,,,,,,,974,0.3089598352,-0.4,,,,,,,,,,
Belmont-Hawthorne-Division,2,2010,7168,,6365,,338448,,990,1.642710472,1.8,13533,,,,,,,,2230577.593,
Belmont-Hawthorne-Division,2,2011,7180,0.08867213478,6365,0,324309,-4.177598922,1002,1.212121212,1.2,13545,0.08867213478,1201.064066,0,1201.064066,-56585.5774,16418.18182,16254,2246082.829,0.6951220195
Belmont-Hawthorne-Division,2,2012,7199,0.1402731635,6396,0.2288667405,347522,7.157679867,1028,2.594810379,2.6,13595,0.369139904,1907.013658,3111.443337,5018.456995,97308.65779,35276.44711,35347,2266572.729,0.9122504241
