NP_ID,Neighborhood,ReportYear,SingleFamilyUnits,MultiFamilyUnits,SingleFamilyPermits,MultiFamilyPermits
1,122nd-Division,2010,4405,3719,44,0
1,122nd-Division,2011,4441,3719,45,0
1,122nd-Division,2012,4468,3719,26,9
1,122nd-Division,2013,4494,3736,49,0
1,122nd-Division,2014,4515,3768,43,0
1,122nd-Division,2015,4543,3768,13,0
2,Belmont-Hawthorne-Division,2010,7168,6365,14,24
2,Belmont-Hawthorne-Division,2011,7180,6365,30,42
2,Belmont-Hawthorne-Division,2012,7199,6396,27,249
2,Belmont-Hawthorne-Division,2013,7222,6583,49,538
2,Belmont-Hawthorne-Division,2014,7258,6957,51,115
2,Belmont-Hawthorne-Division,2015,7302,7192,32,235
3,Centennial-Glenfair-Wilkes,2010,5632,4663,16,30
3,Centennial-Glenfair-Wilkes,2011,5652,4679,11,0
3,Centennial-Glenfair-Wilkes,2012,5659,4679,56,27
3,Centennial-Glenfair-Wilkes,2013,5667,4728,25,0
3,Centennial-Glenfair-Wilkes,2014,5679,4806,7,78
3,Centennial-Glenfair-Wilkes,2015,5684,4806,6,0
4,Central City,2010,1116,22994,0,282
4,Central City,2011,1116,23144,6,220
4,Central City,2012,1121,23408,2,543
4,Central City,2013,1122,23538,10,218
4,Central City,2014,1127,24018,6,1797
4,Central City,2015,1130,25765,8,1722
5,Forest Park-Northwest Hills,2010,3126,663,10,0
5,Forest Park-Northwest Hills,2011,3134,663,16,0
5,Forest Park-Northwest Hills,2012,3144,663,12,0
5,Forest Park-Northwest Hills,2013,3161,663,28,0
5,Forest Park-Northwest Hills,2014,3176,663,18,0
5,Forest Park-Northwest Hills,2015,3197,663,15,0
6,Gateway,2010,11625,6904,10,47
6,Gateway,2011,11634,6904,21,0
6,Gateway,2012,11648,6904,26,127
6,Gateway,2013,11664,7091,30,0
6,Gateway,2014,11692,7201,28,289
6,Gateway,2015,11703,7340,24,72
7,Hayden Island,2010,934,2138,0,0
7,Hayden Island,2011,934,2138,0,0
7,Hayden Island,2012,934,2138,1,0
7,Hayden Island,2013,935,2138,1,95
7,Hayden Island,2014,935,2138,2,140
7,Hayden Island,2015,937,2422,1,0
8,Hillsdale-Multnomah-Barbur,2010,5872,3384,12,0
8,Hillsdale-Multnomah-Barbur,2011,5877,3384,9,0
8,Hillsdale-Multnomah-Barbur,2012,5892,3384,14,119
8,Hillsdale-Multnomah-Barbur,2013,5904,3384,23,0
8,Hillsdale-Multnomah-Barbur,2014,5930,3506,39,0
8,Hillsdale-Multnomah-Barbur,2015,5956,3506,32,0
9,Hollywood,2010,8055,6658,9,50
9,Hollywood,2011,8057,6660,12,47
9,Hollywood,2012,8067,6786,12,145
9,Hollywood,2013,8077,6859,30,379
9,Hollywood,2014,8096,7279,26,124
9,Hollywood,2015,8107,7360,16,37
10,Interstate Corridor,2010,12842,5587,53,107
10,Interstate Corridor,2011,12879,5703,49,81
10,Interstate Corridor,2012,12916,5794,105,280
10,Interstate Corridor,2013,13006,5945,110,432
10,Interstate Corridor,2014,13107,6702,122,389
10,Interstate Corridor,2015,13185,6898,115,584
11,Lents-Foster,2010,14132,4649,78,0
11,Lents-Foster,2011,14187,4653,48,0
11,Lents-Foster,2012,14237,4667,71,0
11,Lents-Foster,2013,14304,4669,110,0
11,Lents-Foster,2014,14407,4675,96,6
11,Lents-Foster,2015,14494,4681,113,49
12,MLK-Alberta,2010,11752,2288,64,40
12,MLK-Alberta,2011,11797,2335,53,0
12,MLK-Alberta,2012,11853,2335,77,8
12,MLK-Alberta,2013,11929,2345,76,78
